kmedian,parmedian,public,private,ivyplus,otherelite,hselective,selective,northeast,midwest,west,pctfemale,pctkmarried
49600,103000,0,1,0,0,1,0,1,0,0,61.378205,51.991743
45100,75700,0,1,0,0,0,1,0,1,0,72.812498,71.658003
73300,94600,0,1,0,0,0,1,1,0,0,26.59511,67.122161
35000,77600,1,0,0,0,0,1,0,0,0,60.470456,50.633097
41500,64300,0,1,0,0,0,1,0,0,0,53.024912,76.28969
52300,120200,1,0,0,0,1,0,0,0,0,47.578016,68.194026
37000,72700,1,0,0,0,0,1,0,1,0,52.163607,48.733816
37800,91500,1,0,0,0,0,1,0,0,0,55.079985,54.325742
48500,90600,0,1,0,0,0,1,0,1,0,57.014155,66.688877
34600,59000,0,1,0,0,0,1,0,0,0,59.203982,54.939586
59200,208700,0,1,0,1,0,0,1,0,0,54.915255,61.660719
41900,99400,0,1,0,0,0,1,1,0,0,64.620358,59.457123
71500,208900,0,1,0,1,0,0,1,0,0,51.829267,61.718601
43600,98300,0,1,0,0,0,0,0,1,0,40.899795,45.507818
27100,54100,1,0,0,0,0,1,0,0,0,57.021677,46.871647
39900,119500,1,0,0,0,0,1,0,0,0,64.691269,56.692559
27200,64400,1,0,0,0,0,1,0,0,0,61.513424,48.560932
45700,92200,0,1,0,0,0,1,0,0,1,55.084747,61.751211
41700,88500,0,1,0,0,0,1,0,1,0,65.529013,67.195117
67900,94800,0,1,0,0,0,1,1,0,0,55.054152,49.549633
60100,122300,1,0,0,1,0,0,1,0,0,59.034556,63.029325
30800,40400,0,1,0,0,0,1,1,0,0,90.09009,23.871805
45400,87500,0,1,0,0,0,1,1,0,0,72.125435,65.567285
47300,106800,0,1,0,0,0,1,0,1,0,99.776119,73.596156
44700,75200,0,1,0,0,0,1,1,0,0,99.157304,50.174236
46200,91000,0,1,0,0,0,1,1,0,0,74.279213,65.088898
54800,87700,0,1,0,0,0,1,0,1,0,73.363096,70.403069
28900,66800,1,0,0,0,0,1,0,0,1,52.703053,41.334799
41200,73500,1,0,0,0,0,1,1,0,0,51.493633,44.264865
71900,157000,0,1,0,1,0,0,1,0,0,51.899999,64.85858
32000,49200,0,1,0,0,0,1,0,1,0,54.233408,68.581057
34900,55800,0,0,0,0,0,0,1,0,0,46.590909,33.266377
59800,147100,1,0,0,1,0,0,0,0,0,57.40416,61.055648
47200,108100,0,1,0,0,0,1,0,1,0,52.025419,59.345227
20100,43500,0,1,0,0,0,0,0,0,1,65.863454,34.217453
30700,98600,0,1,0,0,0,1,0,0,1,60.382515,79.574049
43600,154600,0,1,0,0,1,0,0,0,1,55.709571,55.171168
35000,75800,1,0,0,0,0,1,0,0,1,52.169424,60.787284
24500,79400,1,0,0,0,0,1,0,0,1,45.199817,43.789586
81500,111500,1,0,0,0,1,0,0,0,1,25.325522,69.109714
45800,115400,1,0,0,0,0,1,0,0,1,52.779895,62.975681
38100,72300,1,0,0,0,0,1,0,0,1,54.809618,56.463993
26100,52300,0,0,0,0,0,0,0,0,1,57.797581,49.450436
32000,77500,1,0,0,0,0,1,0,0,1,49.836707,58.218116
28500,85100,0,1,0,0,0,1,0,1,0,48.874396,34.840989
31100,61700,0,1,0,0,0,1,0,1,0,60.445434,53.231281
33800,62600,0,1,0,0,0,1,0,0,0,99.276859,51.905644
18500,71700,0,1,0,0,0,0,0,0,0,68.398267,79.25958
75300,169600,0,1,1,0,0,0,1,0,0,45.593357,52.451259
32500,81800,0,1,0,0,0,0,0,1,0,48.26884,46.86285
35400,72600,1,0,0,0,0,1,0,0,0,60.912865,51.240695
31800,66800,1,0,0,0,0,1,0,0,0,56.819695,60.822612
45600,86400,0,1,0,0,0,1,0,1,0,61.357564,72.11116
39900,77900,0,1,0,0,0,1,0,1,0,54.382825,65.818667
38600,79300,0,1,0,0,0,1,0,1,0,57.678783,70.293367
39600,94000,0,1,0,0,0,1,0,0,1,66.500831,64.912969
41700,88400,0,1,0,0,0,1,0,0,1,66.467065,68.295842
35100,86300,0,1,0,0,0,1,0,1,0,64.006257,69.645548
36500,75500,0,1,0,0,0,1,0,1,0,55.400252,78.544164
40400,91300,0,1,0,0,0,1,0,0,0,49.756098,69.025499
55500,170500,0,1,0,1,0,0,1,0,0,59.548753,57.68404
32700,93000,0,1,0,0,0,1,0,0,0,99.310344,64.285815
64300,110100,0,1,0,1,0,0,1,0,0,35.946462,46.624222
32200,79000,0,1,0,0,0,1,0,0,1,60.243905,77.762383
45500,91800,0,1,0,0,0,1,0,1,0,61.764705,62.191403
79800,143300,0,1,1,0,0,0,1,0,0,48.373455,58.26292
29400,84200,0,1,0,0,0,1,0,1,0,61.69045,77.100056
25000,89700,0,1,0,0,0,0,0,0,1,60.765553,35.447565
32300,86400,0,1,0,0,0,1,0,0,0,60.194176,73.39108
57200,119200,0,1,0,0,0,1,0,1,0,60.164833,67.006105
30000,73500,0,1,0,0,0,0,0,1,0,57.710278,73.663735
41800,102800,0,1,0,0,0,0,1,0,0,30.759573,49.287385
38900,78600,0,1,0,0,0,1,0,1,0,54.720616,65.980899
37500,68800,0,1,0,0,0,1,0,0,0,45.37445,62.066227
57600,42800,1,0,0,0,0,1,1,0,0,55.186212,46.454075
44300,52200,1,0,0,0,0,1,1,0,0,59.425551,49.788338
44400,49800,1,0,0,0,0,1,1,0,0,69.18084,38.337278
45200,41800,1,0,0,0,0,1,1,0,0,59.527689,32.534915
40700,32500,1,0,0,0,0,1,1,0,0,67.544484,30.575472
30900,35100,1,0,0,0,0,1,1,0,0,69.483566,15.341583
48200,63300,1,0,0,0,0,1,1,0,0,61.209625,53.708667
36400,36500,1,0,0,0,0,1,1,0,0,68.115944,27.062157
38800,101600,0,1,0,0,0,1,1,0,0,47.758284,47.148463
41900,77600,0,1,0,0,0,1,1,0,0,76.196808,55.639189
39500,87000,0,1,0,0,0,1,0,0,0,56.616801,73.855031
29700,63500,1,0,0,0,0,1,0,0,0,57.017136,58.23521
50300,93800,0,0,0,0,0,0,1,0,0,18.809524,56.111228
76600,185500,0,1,1,0,0,0,1,0,0,48.192772,56.92296
23400,55800,0,1,0,0,0,1,0,1,0,67.474532,44.057539
60300,208500,0,1,0,1,0,0,0,0,0,51.710099,64.97786
32700,68000,0,1,0,0,0,1,0,0,0,62.116992,55.900997
24400,52400,1,0,0,0,0,1,0,0,0,56.86838,42.483357
29800,91400,0,1,0,0,0,0,1,0,0,45.016077,37.91995
39900,77900,0,1,0,0,0,1,0,1,0,49.508196,75.439018
45100,90700,0,1,0,0,0,1,1,0,0,50.527424,60.700297
37600,71000,1,0,0,0,0,1,0,0,0,59.824783,58.209383
53700,149300,0,1,0,0,1,0,0,1,0,56.379426,59.033829
51300,99900,0,1,0,0,0,1,0,1,0,58.344805,51.821834
52900,117700,0,1,0,0,0,1,0,1,0,56.050956,66.448319
51100,98800,0,1,0,0,0,1,1,0,0,52.930731,58.771598
40900,56300,0,0,0,0,0,0,0,1,0,24.237382,41.34998
55100,136600,0,1,0,0,1,0,1,0,0,55.268019,59.422815
40700,57800,1,0,0,0,0,1,0,1,0,51.409137,67.50263
76000,95200,0,0,0,0,0,0,0,0,1,6.2146891,43.178764
36700,42600,0,1,0,0,0,1,0,0,0,76.016098,24.606214
27900,76900,1,0,0,0,0,1,0,0,1,47.337568,72.373933
45100,76600,0,1,0,0,0,1,0,1,0,50.50633,71.481633
48900,88900,0,1,0,0,0,1,1,0,0,58.928573,45.007131
44300,87300,0,1,0,0,0,1,0,1,0,67.833334,56.94741
45200,98100,0,1,0,0,0,1,0,0,1,76.029056,50.909108
35400,80500,0,1,0,0,0,1,0,1,0,56.550217,81.992364
45800,71500,0,1,0,0,0,1,1,0,0,57.090908,49.549663
57200,109600,0,1,0,0,0,1,0,1,0,59.797466,66.906774
55600,140400,0,1,0,0,0,1,1,0,0,59.077525,49.907449
34000,74400,0,1,0,0,0,1,0,1,0,61.494619,65.087605
87500,196000,0,1,1,0,0,0,0,0,0,48.711112,60.06999
51600,89100,0,1,0,0,0,0,0,1,0,8.118812,54.957736
56300,104000,0,1,0,0,0,1,1,0,0,58.823532,65.585172
45200,75800,0,1,0,0,0,1,1,0,0,78.637773,60.614693
33300,99100,0,1,0,0,0,1,0,1,0,56.312627,44.535008
41200,96000,1,0,0,0,0,1,0,0,0,58.909827,60.079682
27400,57600,1,0,0,0,0,1,0,0,0,48.710603,45.116279
43000,85700,1,0,0,0,0,1,1,0,0,58.344924,60.60605
33200,75600,1,0,0,0,0,1,0,0,0,56.413221,60.041434
35900,72500,0,1,0,0,0,1,0,0,0,53.144264,68.77172
45000,94900,1,0,0,0,0,1,1,0,0,55.151016,55.108076
25700,65300,1,0,0,0,0,1,0,0,0,53.374541,44.630757
44800,100100,1,0,0,0,0,1,0,1,0,59.008199,65.643591
33800,69700,1,0,0,0,0,1,0,0,0,57.618666,60.685867
39600,90700,0,1,0,0,0,1,0,0,0,60.330576,75.42572
38500,98400,1,0,0,0,0,1,0,1,0,60.770577,54.191947
34400,81600,0,1,0,0,0,1,1,0,0,57.971013,67.397976
27500,47200,1,0,0,0,0,1,0,0,1,54.474044,47.971797
37300,74600,1,0,0,0,0,1,0,0,1,55.034214,62.764186
33300,93900,0,1,0,0,0,1,1,0,0,67.514676,70.200974
41700,85900,1,0,0,0,0,1,0,0,1,57.797354,65.24502
38800,113100,0,1,0,0,0,1,0,0,0,55.010021,52.06424
30600,53100,0,0,0,0,0,0,0,0,0,32.158399,37.294537
40500,93300,0,1,0,0,0,1,0,1,0,71.932513,66.69603
34600,74800,1,0,0,0,0,1,1,0,0,58.141303,56.722277
29900,61100,1,0,0,0,0,1,0,0,0,57.191271,45.821381
31000,37400,1,0,0,0,0,1,0,0,0,58.964145,27.648056
50900,98100,0,1,0,0,0,1,1,0,0,63.819093,69.474488
48500,100200,0,1,0,0,0,1,0,1,0,63.913041,59.827423
47500,91400,0,1,0,0,0,1,1,0,0,73.498964,57.406598
47300,146000,0,1,0,0,1,0,0,0,0,61.042619,63.001317
65600,92400,0,1,0,0,0,1,0,0,0,15.838288,63.416588
44800,120500,0,1,0,0,1,0,1,0,0,57.164949,44.374913
46600,93400,0,1,0,0,0,1,1,0,0,71.900827,51.794374
29200,67500,0,1,0,0,0,0,0,0,0,52.865064,65.357649
40700,84000,0,1,0,0,0,1,0,0,0,52.507377,66.71294
67800,175700,0,1,0,1,0,0,0,0,0,55.201501,58.406121
37500,80100,1,0,0,0,0,1,0,1,0,60.918581,67.057979
47500,108400,0,1,0,0,0,1,1,0,0,67.708331,59.219152
37400,94700,0,1,0,0,0,1,0,0,0,59.923667,76.364201
33200,73800,0,1,0,0,0,1,0,1,0,56.160456,75.585812
27000,100200,1,0,0,0,0,1,0,0,1,58.20452,39.631587
69900,151500,0,1,0,0,0,1,1,0,0,56.006181,59.444529
48200,87000,0,1,0,0,0,1,1,0,0,54.14176,48.488015
28200,76300,0,0,0,0,0,0,0,0,1,90.67024,38.99537
36700,79800,1,0,0,0,0,1,1,0,0,83.393103,42.236808
26300,63500,0,1,0,0,0,1,0,0,0,55.197656,52.845579
28700,41400,1,0,0,0,0,1,0,0,0,58.564693,28.612798
40400,73300,0,1,0,0,0,1,1,0,0,71.269488,42.192465
42400,82500,1,0,0,0,0,1,0,1,0,41.809008,59.881938
37000,71100,0,1,0,0,0,1,0,0,0,38.845554,53.825051
27800,55800,0,1,0,0,0,0,1,0,0,72.011662,34.46407
45000,89500,1,0,0,0,0,1,1,0,0,59.411764,55.439347
40300,100900,0,1,0,0,0,1,0,0,0,64.460784,62.477404
39300,57000,1,0,0,0,0,1,0,0,0,58.136278,27.595103
40500,77100,1,0,0,0,0,1,0,0,0,58.641481,47.391012
30900,85500,0,1,0,0,0,0,0,0,0,50.566894,75.396061
27600,52900,1,0,0,0,0,1,0,0,0,55.801105,53.163081
39700,78900,1,0,0,0,0,1,0,0,0,59.868419,55.987275
59600,86300,0,1,0,0,0,1,0,0,0,33.741081,60.793817
46800,66700,1,0,0,0,0,1,0,0,0,57.409668,47.471055
29300,33400,0,1,0,0,0,1,0,0,0,55.46875,15.215114
38700,85400,0,1,0,0,0,1,0,0,0,61.500412,62.469363
30100,66600,1,0,0,0,0,1,0,0,0,56.834948,44.544125
46400,100500,1,0,0,0,0,1,0,0,0,58.2537,56.862932
22800,39200,0,0,0,0,0,0,0,0,0,42.261904,32.299599
37300,88800,0,1,0,0,0,1,0,1,0,69.300914,63.777643
63300,113300,0,1,0,0,1,0,1,0,0,59.130019,50.407398
38500,71100,1,0,0,0,0,1,0,1,0,52.48307,67.745829
32700,90600,1,0,0,0,0,1,0,0,1,44.285145,49.071598
30900,45100,1,0,0,0,0,1,0,0,0,51.793528,21.62244
