hispanic_pop_1,trump_approval,pid,pid_TEXT,gender
25,5,1,,2
10,2,2,,2
,,,,
15,5,3,,
,,,,
6,,,,
,,,,
10,,,,
,,,,
,,,,
15,5,1,,2
,,,,
22,5,1,,2
,,,,
25,3,3,,2
8,5,1,,2
26,4,3,,2
75,1,2,,2
48,5,3,,2
24,4,2,,2
35,4,3,,2
15,5,3,,1
10,5,3,,2
20,2,2,,1
54,3,2,,2
25,1,3,,2
12,5,3,,1
37,4,4,Independent,2
25,4,2,,2
45,4,2,,2
30,2,2,,2
16,4,3,,2
30,5,1,,2
40,5,1,,1
18,5,3,,2
17,4,3,,2
20,5,3,,1
38,3,2,,1
20,5,2,,2
23,2,4,"Libertarian, though I am registered as a Republican to vote in primaries",2
3,2,3,,2
10,5,1,,2
40,4,3,,2
10,5,1,,2
41,5,1,,2
29,4,3,,2
27,4,3,,2
25,2,2,,1
4,1,2,,1
25,4,1,,1
10,2,2,,2
20,2,2,,1
67,2,3,,1
18,3,2,,1
35,5,4,Centrists ,2
5,5,3,,1
50,2,2,,2
60,5,1,,1
15,4,1,,1
25,2,2,,1
75,3,2,,2
40,4,1,,1
38,5,1,,1
34,5,1,,2
15,3,3,,1
12,5,1,,2
25,5,1,,2
43,4,1,,1
15,3,2,,2
10,5,3,,1
6,5,4,Green Party,1
25,2,1,,1
10,4,3,,2
75,3,1,,1
18,4,3,,1
35,5,1,,1
2,5,3,,1
18,,1,,2
76,1,4,Liberal Party,1
18,5,1,,1
1,4,1,,2
5,5,1,,2
25,2,4,Libertarian,1
30,5,3,,1
10,5,1,,2
13,4,1,,2
29,5,3,,2
22,4,2,,2
35,5,4,Green ,2
20,5,1,,2
25,4,1,,1
26,5,1,,1
50,4,1,,2
15,4,4,Libertarian,1
20,5,1,,2
25,4,3,,1
50,3,3,,1
40,5,1,,2
65,5,1,,1
20,3,2,,1
20,2,3,,1
30,5,3,,1
70,4,3,,2
18,5,3,,1
50,5,3,,1
50,5,3,,1
16,3,2,,1
15,3,2,,1
9,4,1,,2
56,5,1,,2
37,5,1,,2
25,4,2,,1
33,5,2,,2
15,5,3,,2
20,4,3,,2
20,5,1,,1
10,5,1,,2
25,5,1,,2
40,2,2,,2
18,5,1,,1
36,5,1,,2
16,3,3,,1
50,5,3,,1
53,3,3,,2
65,5,1,,2
50,5,3,,2
45,4,3,,1
10,4,4,Libertarian ,1
40,5,1,,2
3,5,1,,1
60,5,1,,1
85,5,1,,1
65,5,1,,2
30,4,1,,1
43,5,1,,2
33,4,1,,1
36,3,1,,2
10,4,3,,1
53,5,1,,1
34,4,1,,1
14,4,1,,2
33,5,3,,2
35,5,1,,2
79,4,1,,1
46,5,1,,2
,5,3,,1
76,3,3,,2
25,5,1,,1
33,5,3,,1
10,4,3,,1
72,5,3,,2
30,4,3,,2
40,5,1,,2
10,4,1,,1
16,5,1,,2
50,5,1,,2
54,5,3,,2
41,5,1,,2
25,5,3,,2
60,5,1,,1
15,5,1,,2
20,5,1,,2
15,5,3,,2
35,5,3,,1
70,5,1,,1
30,5,1,,1
30,2,2,,1
18,5,1,,1
40,5,1,,2
25,5,3,,2
,,,,
,,,,
,,,,
60,5,,,
,,,,
,,,,
5,5,1,,2
,,,,
,,,,
,,,,
26,5,3,,2
6,5,1,,2
25,5,1,,1
40,5,1,,2
33,5,2,,1
40,5,1,,2
15,5,1,,2
25,3,2,,2
12,5,1,,1
30,4,1,,2
70,5,1,,2
25,5,1,,2
25,5,1,,2
35,5,1,,1
35,3,4,Bernie sanders,1
25,5,3,,2
25,5,1,,2
15,5,4,Independent ,1
22,5,1,,2
86,5,1,,2
39,5,2,,2
35,5,1,,2
40,4,1,,2
94,4,3,,2
35,5,1,,1
6,5,1,,1
40,1,2,,2
17,5,3,,2
,,,,
,,,,
,,,,
56,1,,,
40,2,,,
30,4,3,,1
10,4,3,,1
10,5,3,,1
11,4,1,,1
25,5,3,,1
4,5,3,,1
1,5,1,,1
25,2,4,Libertarian,2
24,5,3,,1
31,5,1,,1
70,5,3,,1
4,2,4,Libertarian,1
15,5,4,TUNNEL SNAKES,1
22,5,1,,2
5,2,2,,1
23,5,1,,2
14,5,1,,2
14,4,1,,2
2,5,1,,1
30,2,2,,1
20,3,3,,1
30,5,3,,2
30,5,3,,1
61,4,3,,2
5,5,1,,1
38,5,1,,2
24,5,1,,3
66,5,1,,1
2,3,3,,1
25,5,1,,1
5,5,3,,1
5,5,1,,1
15,5,1,,1
20,4,2,,1
17,5,1,,2
20,5,3,,1
67,5,1,,1
85,5,1,,1
12,5,2,,1
15,5,1,,2
69,4,3,,1
21,1,2,,1
10,5,4,nihilist,1
18,4,3,,3
28,5,1,,2
5,2,3,,1
25,5,1,,2
25,5,1,,2
23,3,1,,1
86,3,3,,1
30,5,1,,1
20,5,1,,1
100,1,2,,1
37,5,1,,2
10,2,4,Independant,2
15,5,3,,2
25,5,1,,2
18,5,1,,2
45,5,1,,2
25,4,2,,2
10,5,1,,1
39,5,1,,2
25,2,2,,2
15,4,4,Independent,1
35,4,2,,2
26,1,2,,2
20,4,2,,2
5,5,1,,2
45,5,1,,1
36,4,1,,2
15,5,1,,2
2,5,1,,1
25,4,2,,2
31,5,1,,2
,,,,
20,5,2,,2
1,1,2,,2
25,5,1,,2
11,,,,
16,5,1,,2
,,,,
34,4,1,,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
20,4,2,,2
17,3,1,,1
77,5,3,,2
,,,,
,,,,
11,5,1,,1
46,3,2,,2
11,3,3,,1
10,2,3,,2
50,,1,,2
30,5,1,,2
52,5,1,,2
61,5,1,,2
35,4,4,Independent ,1
11,5,4,Independent ,1
26,5,1,,2
12,5,2,,2
34,5,3,,1
35,5,1,,2
27,5,3,,3
40,4,1,,1
35,5,4,Independent ,1
,,,,
47,5,1,,2
65,4,1,,1
13,4,3,,1
30,2,2,,1
25,5,1,,1
25,4,2,,1
80,4,1,,2
29,3,2,,2
50,3,2,,2
12,5,1,,2
12,5,3,,2
65,2,4,Independent ,2
10,4,4,libertarian,2
36,5,1,,2
20,5,1,,2
35,2,2,,2
40,4,1,,2
40,5,3,,2
15,5,4,Democratic socialist ,2
15,5,1,,2
40,5,1,,2
51,5,1,,2
29,5,1,,2
18,5,1,,2
15,4,1,,2
29,5,1,,2
50,3,2,,2
18,4,1,,2
3,5,1,,2
,,,,
,,,,
,,,,
,,,,
5,5,1,,2
,,,,
36,2,3,,2
24,5,1,,2
,,,,
15,5,11,,2
13,5,9,,2
14,5,11,,2
5,5,9,,1
50,5,9,,2
4,5,9,,2
16,5,11,,1
25,4,9,,2
42,,9,,1
5,4,10,,2
1,5,9,,2
25,4,11,,1
13,4,11,,2
12,5,9,,2
7,5,9,,2
16,5,9,,2
6,5,9,,1
20,5,9,,2
40,5,9,,2
32,4,11,,2
14,5,9,,2
20,5,9,,2
13,5,9,,2
19,3,12,,2
20,3,11,,1
50,3,10,,2
25,5,9,,2
15,5,9,,2
24,5,12,Green,1
40,4,11,,1
30,2,11,,1
16,5,9,,1
7,5,9,,2
24,5,9,,2
11,5,9,,2
30,5,11,,2
7,5,9,,2
15,5,9,,2
34,4,9,,2
20,5,9,,2
89,4,11,,2
60,5,9,,2
10,5,9,,1
9,5,11,,1
59,5,11,,2
50,5,9,,2
14,5,9,,2
10,3,11,,2
59,4,11,,1
25,3,11,,2
32,5,9,,2
24,5,11,,2
3,5,12,,2
,,,,
,,,,
,,,,
12,5,10,,2
40,5,9,,2
,,,,
,,,,
,,,,
,,,,
15,4,,,
69,5,11,,2
,,,,
,,,,
76,5,9,,1
25,5,11,,2
73,5,9,,2
,,,,
,,,,
,,,,
,,,,
12,5,1,,2
15,5,1,,2
45,5,1,,1
34,5,1,,2
18,5,4,Independent,2
63,3,3,,2
27,5,1,,2
16,5,1,,2
38,5,1,,2
8,5,1,,2
18,3,3,,1
74,5,1,,2
35,5,2,,1
60,4,1,,2
61,5,1,,1
5,5,1,,2
50,4,3,,2
44,4,2,,2
25,5,1,,2
20,4,1,,2
20,5,2,,2
50,5,3,,2
6,4,1,,2
22,5,1,,2
40,5,3,,2
56,4,3,,2
12,5,1,,2
9,4,2,,2
41,4,3,,2
25,2,2,,1
15,5,1,,1
10,5,3,,1
10,5,1,,2
60,5,1,,2
10,5,1,,2
15,5,1,,2
40,4,1,,2
18,5,3,,2
48,4,1,,2
40,3,3,,2
20,5,3,,2
25,5,1,,2
60,4,1,,1
10,5,3,,2
4,4,3,,2
0,4,3,,1
18,5,1,,2
16,4,1,,2
27,4,1,,1
60,5,1,,2
15,5,1,,1
35,2,2,,2
9,4,4,Independent,2
12,4,3,,2
47,5,3,,2
15,5,1,,2
25,5,1,,2
18,5,1,,2
21,5,1,,2
37,3,3,,2
25,5,1,,2
30,5,3,,2
5,5,1,,2
25,4,1,,2
14,5,1,,2
10,5,1,,2
20,5,1,,1
20,4,1,,2
45,5,3,,2
15,4,3,,2
15,5,1,,2
0,5,1,,2
10,5,3,,2
6,5,3,,2
26,3,3,,2
10,5,4,Libertarian,1
15,5,1,,1
12,5,1,,2
8,5,1,,2
16,5,3,,1
14,4,3,,1
29,1,2,,1
16,5,1,,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
10,5,3,,2
,,,,
25,5,1,,1
50,1,2,,2
24,5,1,,2
18,5,1,,2
8,5,1,,2
10,4,1,,2
35,2,2,,1
5,2,2,,1
50,5,1,,2
35,3,2,,2
12,4,2,,2
60,1,2,,1
60,4,1,,2
62,3,2,,2
15,3,2,,1
40,4,2,,2
20,4,2,,1
78,2,4,Libertarian,1
25,2,2,,2
7,2,2,,2
30,1,4,Independent,2
30,4,3,,2
60,5,3,,2
40,2,2,,2
31,2,2,,2
70,2,3,,2
6,5,1,,2
80,1,2,,2
15,4,2,,2
53,2,2,,2
50,5,3,,2
8,4,1,,1
36,5,1,,2
32,4,4,Independent ,2
25,2,2,,2
25,5,4,Independent ,2
25,5,3,,2
77,1,2,,2
40,2,2,,2
75,3,2,,2
5,4,3,,1
21,3,2,,2
75,3,2,,1
75,2,2,,1
56,3,3,,2
60,2,1,,2
20,5,4,Independent,2
37,3,2,,2
18,5,1,,1
74,1,2,,2
25,4,2,,2
37,2,2,,2
35,5,1,,1
,5,1,,1
20,4,3,,2
75,1,2,,2
66,4,3,,2
15,4,2,,2
7,1,2,,2
7,5,1,,2
50,5,1,,2
35,5,1,,2
10,4,3,,2
46,5,1,,2
40,4,2,,2
80,5,3,,1
20,4,2,,2
36,4,1,,2
25,5,1,,1
25,5,1,,1
1,4,2,,1
5,2,3,,2
9,2,3,,1
75,4,1,,2
40,1,2,,1
20,5,1,,2
25,4,3,,2
27,5,1,,2
77,5,3,,2
50,2,1,,2
10,4,2,,2
31,5,2,,2
10,3,2,,1
40,5,3,,2
35,2,2,,1
30,1,1,,2
67,2,2,,2
46,1,2,,2
49,1,2,,2
13,4,2,,2
34,4,2,,1
23,4,2,,2
52,5,1,,2
75,1,2,,1
15,5,2,,2
33,5,3,,2
,,,,
,,,,
7,5,1,,2
,,,,
,,,,
21,5,1,,1
,,,,
48,1,3,,2
46,2,2,,1
10,5,1,,2
,,,,
14,5,1,,2
20,3,3,,2
16,5,1,,2
7,5,1,,2
19,5,1,,2
42,4,3,,2
9,5,3,,2
5,3,4,I am my own political party,1
40,5,1,,2
40,5,3,,2
62,4,1,,2
15,5,1,,2
8,5,3,,1
12,5,1,,2
0,5,4,Independent American Voter,1
33,4,3,,1
84,5,3,,2
20,5,1,,2
15,5,1,,2
36,5,3,,2
61,5,3,,2
25,5,1,,2
84,1,1,,2
15,5,1,,1
59,5,1,,1
25,4,1,,2
70,3,3,,2
96,4,1,,2
66,4,1,,2
40,5,1,,1
19,4,1,,2
30,4,3,,2
57,5,1,,1
27,5,1,,2
40,5,1,,2
50,5,1,,2
36,4,1,,2
17,5,1,,2
35,5,1,,2
38,5,3,,2
45,5,1,,2
30,5,1,,2
50,5,4,Green,2
25,4,1,,2
15,5,3,,1
18,4,1,,2
66,5,3,,1
14,5,1,,2
34,5,3,,2
65,5,1,,2
13,5,1,,2
25,3,1,,2
5,5,3,,2
34,1,1,,2
42,3,1,,2
76,4,3,,2
46,5,1,,2
9,3,3,,1
33,4,3,,2
30,5,1,,2
47,5,1,,3
37,5,1,,2
20,4,1,,2
50,5,4,Independent Libertarian,2
50,5,1,,2
61,4,1,,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
50,5,1,,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
30,5,3,,2
,,,,
,,,,
,,,,
5,5,3,,2
,,,,
9,5,3,,2
,,,,
,,,,
7,5,1,,2
,,,,
18,4,1,,1
95,1,4,National Communist Party of Lithuania,1
5,5,2,,1
13,5,1,,1
3,5,3,,2
7,5,1,,1
6,5,1,,2
,,,,
74,5,1,,1
25,5,3,,2
10,5,4,Progressive Moderate/Green Party/socialist,1
68,5,3,,2
8,5,4,Democratic Socialists of America,1
27,5,1,,2
61,5,1,,2
25,5,4,Libertarian ,2
26,5,1,,2
29,5,1,,1
8,5,1,,2
24,5,3,,2
35,5,3,,1
5,5,1,,1
25,5,2,,1
13,5,1,,2
9,5,1,,1
64,5,1,,2
43,5,1,,2
33,1,2,,1
33,4,2,,2
25,5,1,,2
45,5,1,,1
26,5,3,,3
28,5,1,,2
35,5,1,,2
26,5,3,,3
,,,,
,,,,
,,,,
29,3,4,Green Party,3
35,5,4,Libertarian ,3
67,5,1,,2
27,5,3,,2
25,5,1,,1
60,4,1,,1
64,3,1,,1
50,5,1,,2
10,5,1,,1
22,5,3,,1
48,3,3,,2
35,4,1,,1
50,5,3,,2
26,5,1,,2
61,5,3,,2
21,5,1,,2
25,5,1,,2
35,5,1,,2
51,5,3,,2
50,5,1,,2
50,5,1,,2
65,5,1,,1
50,5,1,,2
45,5,1,,2
59,5,1,,2
15,5,1,,2
88,5,1,,2
50,4,4,"I don't affiliate, I go for whom I think has great ideals and plans",1
